Title,rate,Year,certificate,genre,rate,story,director,votes count
La Pucelle: Ragnarok,353.,(2022 Video Game),,"
Adventure            ",,"
Prier and her brother Culotte are novices with the demon-hunting organization, La Pucelle. They've just passed their final exams and are ready to do real work fighting demons and zombies, ...                See full summary »
","
            
    Stars:
Brenna Larsen, 
Brittany Cox, 
Michael Schwalbe
    ",
Grand Crime Auto Theft: Miami City Mafia Gangster,354.,(2022 Video Game),,"
Crime            ",,"
In this knock-off ""Grand Theft Auto"" mobile game you drive around a mostly-empty city at 15 miles per hour and tap on the screen to wail on people with your fists.","
    ",
Source of Madness,355.,(2022 Video Game),T,"
Action, Adventure, Fantasy            ",,"
Source of Madness is a side-scrolling dark action roguelite set in a twisted Lovecraftian inspired world powered by procedural generation and AI machine learning. Take on the role of a new Acolyte as they embark on a nightmarish odyssey.","
            
    Star:
Matthew Curtis
    ",
Chivalry 2: Tenosian Invasion,356.,(2022 Video Game),,,,"
        Add a Plot
","
    Directors:
Randall Ryan, 
Gillian Brashear
                 | 
    Stars:
Benjy Gaither, 
Lani Minella, 
Jas Patrick, 
Lucas Schuneman
    ",
Romance at the Rink,357.,(2022 Video Game),,"
Romance            ",,"
Selena has been waiting for the figure skating winter showcase all year. Her excitement turns to doubt when the organizer insists she partner up, and her fear grows when she finds out her partner is her childhood friend turned rival, Levi.","
    Director:
Olivia Luna Makaio
                 | 
    Stars:
Allen Chan, 
Karenna Foley, 
Lauren Kong, 
Jerron Bacat
    ",
Mindworks: The Great Division,358.,(2022 Video Game),,"
Action, Mystery, Sci-Fi            ",,"
        Add a Plot
","
    Director:
Karen Khodur
                 | 
    Star:
Samantha V. Hutton
    ",
Crossfire: Legion,359.,(2022 Video Game),,,,"
        Add a Plot
","
    Director:
Maurice Grela
                 | 
    Star:
Kasey Ryne Mazak
    ",
Voice of Cards: The Beasts of Burden,360.,(2022 Video Game),,"
Adventure            ",,"
        Add a Plot
","
    Directors:
Maasa Mimura, 
Yoko Taro
                 | 
    Stars:
Yui Ishikawa, 
Carin Gilfry
    ",
Capybara Spa,361.,(2022 Video Game),,,,"
        Add a Plot
","
    ",
Gladiators: Survival in Rome,362.,(2022 Video Game),,"
Action, History            ",,"
The protagonist, played by the user, finds himself stranded in Northern Italy, only half-conscious after an ambush on a caravan. Through battling against hostile legions and brutal savage ...                See full summary »
","
    Director:
Manuel Prueter
                 | 
    Stars:
Kirill Buzmakov, 
Yulia Ermolaieva, 
Vladislav Evdokimov, 
Stanislav Guettlein
    ",
Shovel Knight Dig,363.,(2022 Video Game),E10+,"
Action, Adventure, Fantasy            ",,"
When Drill Knight and his dastardly digging crew blast apart Shovel Knight's peaceful campsite and steal his loot, he grabs his trusty Shovel Blade and starts tunneling after them.","
    ",
"Trolley Problem, Inc.",364.,(2022 Video Game),,"
Comedy            ",,"
A darkly comedic narrative game based on real-world philosophical papers, in which you are asked to make a series of impossible choices from two awful answers.","
            
    Star:
Jan Ravens
    ",
Anger Foot,365.,(2022 Video Game),M,"
Action, Adventure, Comedy            ",,"
Anger Foot is a lightning-fast action FPS where the only things harder than your ass-kicking feet are the ass-kicking beats.","
    ",
INPUT6,366.,(2022 Video Game),,"
Horror, Mystery            ",,"
Search through the abandoned robot factory avoiding malfunctioning robots by instantly switching between playing in separate sections of the facility. Figure out what led to the company's collapse. Be quick. You don't have much time.","
    Director:
Bartosz Guzewicz
    ",
Metalands: Battle for CIFI,367.,(2022 Video Game),,"
Action, Adventure, War            ",,"
Metalands is a first person shooter game set in a post-apocalyptic world. The player takes on the role of a bunker manager. The role of the player is to protect the bunker and the citizens....                See full summary »
","
    Director:
Alexis Office
    ",
Beneath Oresa,368.,(2022 Video Game),,"
Action, Adventure, Fantasy            ",,"
        Add a Plot
","
    ",
Sega & Sonic Bootleg Collection,369.,(2022 Video Game),,"
Horror            ",,"
The development of the collection takes place between 1993-1995, a time when the console war between SEGA and Nintendo is still going on. Within SEGA America there is an anonymous Subgroup that tries to Boycott the official.","
    Director:
Thiago M. Acqua
                 | 
    Stars:
Nasim Benelkour, 
Jeramy Burke-Miller
    ",
ZOZ: Final Hour,370.,(2022 Video Game),Not Rated,"
Action            ",,"
        Add a Plot
","
    Director:
Siyuan Lin
                 | 
    Stars:
Mike Bodie, 
Jess Nesling
    ",
The Evolving World: Catalyst Wake,371.,(2022 Video Game),,"
Action            ",,"
Catalyst Wake is a cinematic visual novel set in a vividly stylized post-apocalyptic world. Discover a thrilling story of assassins, corrupted leaders, and scrap-metal robots, as humanity faces what could be its final hours.","
    Director:
LockedOn
                 | 
    Stars:
A.J. Beckles, 
Gianni Matragrano, 
Ashely Biski, 
Jason Marnocha
    ",
Unknown Number,372.,(2022 Video Game),,"
Action, Adventure, Mystery            ",,"
North Sea. Heavy storms. Two climate activists are pulling off a mysterious heist on an abandoned oil rig. But they hit trouble and call for urgent help. A simple misdial drags YOU into the chaos. Will you answer the call?","
    Directors:
Thomas Keane, 
Roland Walters
                 | 
    Stars:
Suzann McLean, 
Julie McLellan, 
Candice Palladino, 
Simon Snashall
    ",
PuraOre! Pride of Orange: Smile Princess,373.,(2022 Video Game),,"
Sport            ",,"
You have been appointed as the general manager of the Japanese under-18 female Ice Hockey team. Your task is to scout members for the team and help them progress in their fight against the world's strongest teams.","
            
    Stars:
Aina Aiba, 
Ruriko Aoki, 
Yoshino Aoyama, 
Ayasa Goto
    ",
Augment,374.,(2022 Video Game),,"
Action            ",,"
        Add a Plot
","
    Director:
Isaac Joel
                 | 
    Stars:
Sofia Bragar, 
Sofía Bragar, 
Eric Michael Harris, 
Brett Lingenfelter
    ",
Card Shark,375.,(2022 Video Game),,"
Adventure            ",,"
        Add a Plot
","
    Directors:
Arnaud De Bock, 
Nicolaï Troshinsky
    ",
Open the Gates!,376.,(2022 Video Game),,"
War            ",,"
The emperor has lost control over his kingdom. Now he has appointed you as the leader of a new conquest.","
    Director:
Robin van der Horst
                 | 
    Stars:
Jay Silver, 
Nicolle Zambrano, 
Danny Spiller, 
Zack Shulfer
    ",
Hard West 2,377.,(2022 Video Game),,,,"
        Add a Plot
","
    Director:
Grzegorz Ziemba
                 | 
    Stars:
Josh Cole, 
Brandi Hollsten, 
Andre Martin
    ",
Cecil the video game,378.,(2022 Video Game),,"
Horror            ",,"
TheCecil: The Journey Begins is a horror-based game by Genie Interactive Games about the mysteries of the Cecil hotel and the evil energy that occurs around it, but with a twist and fiction...                See full summary »
","
    Director:
Meztheprod
    ",
Dusk & Dawn,379.,(2022 Video Game),,"
Action, Romance            ",,"
By day, Rene Garcia is a normal economics student. By night though, she is a member of a superhero team called Dusk, going by the alias ""Bolt"". Along with her friends, she goes up against the notorious villains of team Dawn.","
    Director:
Anna Maria Konczak
                 | 
    Stars:
Shakyra Dunn, 
Allen Chan, 
Devin Lawrence Wright, 
Josh Portillo
    ",
Shipwrecked 64,380.,(2022 Video Game),,"
Adventure, Horror, Mystery            ",,"
        Add a Plot
","
    Director:
Squeaks D'Corgeh
                 | 
    Stars:
WhizWillP0wer, 
Dm4dinosaurs, 
Brendan Kelbie, 
MattieBrapps
    ",
Lunacid,381.,(2022 Video Game),T,"
Action, Adventure, Fantasy            ",,"
Lunacid is a first person dungeon crawler inspired by old FROMSOFT games like Shadow Tower and King's Field.","
    Director:
Akuma Kira
    ",
Jurassic World: Primal Ops,382.,(2022 Video Game),,"
Adventure            ",,"
        Add a Plot
","
    Director:
Jason Millena
    ",
The Bridge Curse Road to Salvation,383.,(2022 Video Game),,"
Horror            ",,"
The Bridge Curse: Road to Salvation is a first-person atmospheric horror game with stealth-based gameplay.","
            
    Stars:
Shih-Yang Lee, 
Lin Pei-Ling, 
Lien Szu Yu
    ",
The Roots of Passion,384.,(2022 Video Game),,,,"
        Add a Plot
","
    Director:
Anna Maria Konczak
                 | 
    Stars:
Sam Slade, 
Jerron Bacat, 
Emeri Chase, 
Jett Barker
    ",
Deliver Us from Evil,385.,(2022 Video Game),,"
Romance            ",,"
A gothic otome VN. Mankind has wished since the dawn of time, but when those pleas turn dark, Heaven decides to answer. Tasked by the Archangel Michael to investigate, will our young angel ...                See full summary »
","
    Director:
Luna Marini Eva
                 | 
    Stars:
E. Alex Gardipe, 
Bradley Gareth, 
Ryan Hoyle
    ",
Golden Light,386.,(2022 Video Game),,"
Horror            ",,"
Golden Light is a first-person procedural survival horror game with rogue-like elements and an eerie atmosphere. Explore the dark environment of the Golden Light office, uncover the grim ...                See full summary »
","
    ",
9mm Girls,387.,(2022 Video Game),,,,"
        Add a Plot
","
    Director:
Kelly Greenshield
                 | 
    Stars:
Aimee Smith, 
Abby Espiritu, 
Sena Bryer, 
Kelly Greenshield
    ",
Osomatsusan no shuyaku soudatsu Pokobôru,388.,(2022 Video Game),,,,"
        Add a Plot
","
    ",
Lord of the Rings Online: Rangers and Ruins,389.,(2022 Video Game),,"
Fantasy            ",,"
        Add a Plot
","
    Directors:
Gillian Brashear, 
Randall Ryan
                 | 
    Stars:
Gavin Hammon, 
Lani Minella, 
Mark Oliver
    ",
F1 Manager 22,390.,(2022 Video Game),E,"
Sport            ",,"
        Add a Plot
","
    Director:
Andy Fletcher
    ",
Dusk Diver 2,391.,(2022 Video Game),,"
Action            ",,"
        Add a Plot
","
    Director:
Lancelot Chu
                 | 
    Stars:
Chinatsu Akasaki, 
Daisuke Hirakawa, 
Shizuka Itô, 
Mizuki Kato
    ",
MerFight: Curse of the Arctic Prince,392.,(2022 Video Game),,"
Action            ",,"
Play through MerFight's branching story mode as the battle to dethrone Rho, the Arctic King, heats up.","
    Director:
Matthew DeLucas
                 | 
    Stars:
Allen Chan, 
Anthony B. Perez, 
Danielle McRae, 
Bryce Buckley
    ",
Escape Academy: Escape from Anti-Escape Island,393.,(2022 Video Game),,"
Adventure            ",,"
        Add a Plot
","
    Directors:
Wyatt Bushnell, 
Mike Salyh
    ",
Repurpose,394.,(2022 Video Game),,"
Adventure            ",,"
        Add a Plot
","
    Director:
Eros Rodriguez
                 | 
    Stars:
Chase Beck, 
Adrian Garcia, 
Kim Garciel, 
Meli Grant
    ",
SCP: Pandemic,395.,(2022 Video Game),M,"
Action            ",,"
You are a rogue fire-team going against the SCP Foundation and their ongoing attempt of global omnicide. You start at Area 12, the site where the Psi-Z program is being actualized.","
    Director:
Aden Stewart
                 | 
    Star:
Michael Pipher
    ",
Exodus Vigil,396.,(2022 Video Game),,"
Adventure            ",,"
Based on the book, ""Exodus: God of the Slaves"" by Kris Murray, A new God comes to Egypt and sends His emissary. Four young Egyptians witness the wonder as disasters befall their homeland. ...                See full summary »
","
    Directors:
Phil Conrod, 
Kris Murray, 
Stephen Weese
                 | 
    Stars:
Stephen Weese, 
Andy McPhee, 
Danielle McRae, 
Mark Allen Jr.
    ",
Minecraft: Soccer Celebration,397.,(2022 Video Game),,"
Sport            ",,"
Pick your favourite team, put in the work, and ascend the ranks to become the MVP. Perfect your tackling, shooting, passing and dribbling abilities over three training stages, coming to an epic conclusion in an electric championship final.","
    Director:
Alex Bellavita
                 | 
    Star:
Jordan Paul Haro
    ",
Apeirophobia,398.,(2022 Video Game),,"
Adventure, Horror, Thriller            ",,"
An camera man is shooting a film, when suddenly he noclips into The Backrooms","
    Director:
Zoneqyl
    ",
Gwent: Rogue Mage,399.,(2022 Video Game),,"
Action, Adventure, Drama            ",,"
        Add a Plot
","
    Director:
Vladimir Tortsov
    ",
Shadows Over Loathing,400.,(2022 Video Game),,"
Adventure, Comedy, Fantasy            ",,"
Shadows over Loathing is a slapstick-figure comedy adventure-RPG full of mobsters, monsters, and mysteries.","
    ",
GRID Legends: Classic Car-Nage,401.,(2022 Video Game),,"
Sport            ",,"
Buckle up and prepare for adrenaline-fueled chaos as Demo Derby-style game mode Classic Car-Nage smashes its way into GRID Legends to rewrite every racing rule. Join Valentin Manzi and cause havoc and bash bumpers with your nemesis.","
    Director:
Christopher Tudor-Smith
                 | 
    Stars:
James Alexander, 
Inel Tomlinson
    ",
The Godkiller - Chapter 1,402.,(2022 Video Game),T,"
Adventure            ",,"
A puzzle adventure from Erik Hermansen, creator of Deadly Rooms of Death. Fling yourself into 60 massive puzzle levels. Stack blocks, dodge cops, die to progress, and discover the secrets of the afterlife.","
    Director:
Erik Hermansen
                 | 
    Stars:
Chelsea Blackwell, 
Kyle Chrise, 
Martin Beadle, 
Geoffrey M. Butler
    ",
In Nightmare,403.,(2022 Video Game),,"
Horror            ",,"
        Add a Plot
","
            
    Stars:
Jenny Zhang, 
Talic Yuan
    ",
Last Night of Winter,404.,(2022 Video Game),,"
Action, Adventure            ",,"
The story takes place in an old stronghold, at the last days of a great battle. You died, but your will was stronger than your body, so you woke up again, to continue the siege in a never ending night.","
    Director:
Mario Domínguez
    ",
Dungeons & Dragons Online: Hunter and Hunted,405.,(2022 Video Game),,"
Fantasy            ",,"
        Add a Plot
","
    Directors:
Randall Ryan, 
Gillian Brashear
                 | 
    Star:
Scott McNeil
    ",
Jumanji: The Adventure,406.,(2022 Video Game),,"
Short, Action            ",,"
        Add a Plot
","
    ",
GRID Legends: Enduring Spirit,407.,(2022 Video Game),,"
Sport            ",,"
        Add a Plot
","
    Director:
Christopher Tudor-Smith
                 | 
    Stars:
Inel Tomlinson, 
James Alexander
    ",
Lie of Caelum,408.,(2022 Video Game),,"
Adventure, Fantasy, Sci-Fi            ",,"
        Add a Plot
","
    Directors:
Stark Joker, 
SFKUSHA
                 | 
    Stars:
Jalen Askins, 
Phil Ava, 
Bryce Buckley, 
Mari Chavez
    ",
RiffTrrax: The Game,409.,(2022 Video Game),,"
Comedy            ",,"
Game version of the popular spin-off of MST3K featuring 400 plus clips of the cheesiest movies ever riffed.","
    Director:
James Dirschberger
                 | 
    Stars:
Bill Corbett, 
Bridget Jones, 
Kevin Murphy, 
Michael J. Nelson
    ",
20 Minutes Till Dawn,410.,(2022 Video Game),,"
Action, Adventure, Fantasy            ",,"
Shoot down an ever growing horde of Lovecraftian monsters to survive the night. Choose from a variety of upgrades to create unique and game-breaking builds. Unlock a diverse cast of characters and weapons with unique powers.","
    ",
Single Player: Horror,411.,(2022 Video Game),,"
Horror            ",,"
You invite your university friends to your parent's home for a sleepover but you wake in the night to find a Psycho Axe Killer in your living room. Now you make the decisions. Do you fight ...                See full summary »
","
    Director:
Paul Windmill
                 | 
    Stars:
Chloé Booyens, 
Ade Dimberline, 
Kira Edwards, 
Rebecca Pickering
    ",
Stranger Things: The Experience,412.,(2022 Video Game),,"
Adventure            ",,"
        Add a Plot
","
    ",
Worldbreakers,413.,(2022 Video Game),,"
Adventure            ",,"
        Add a Plot
","
    Director:
El-Ad Damid Amir
                 | 
    Star:
Bayra Bela
    ",
The Outbound Ghost,414.,(2022 Video Game),E10+,"
Adventure, Fantasy, Horror            ",,"
The Outbound Ghost is an adventure RPG about helping ghosts ascend to the afterlife. Battle the past using figments of your personality, Explore a town of troubled spooks and discover life can be tough, even when you're dead.","
    Directors:
Adam Emmott, 
Conrad Grindheim Borrell
                 | 
    Star:
Trey Armer
    ",
(Hi)story of a Painting: The Light in the Shadow,415.,(2022 Video Game),,"
Documentary, Animation, Biography            ",,"
Follows Artemisia Gentileschi's world, an internationally celebrated artist and a woman in 17th Century Italy.","
    Directors:
Quentin Darras, 
Gaelle Mourre
                 | 
    Stars:
Cerys Matthews, 
Susanna Paisio
    ",
Astoria Legends: Red Moon,416.,(2022 Video Game),T,"
Action            ",,"
On the eve of the Red Moon, the Astrals call forth their Envoys and Summons to the world of the Tower of God. Follow The Envoy of Fire, Astor Roen as he descends upon Marcalaan and sets the city in chaos.","
    Director:
Vinh Luu
                 | 
    Stars:
Phillip Sacramento, 
Kevin Paculan, 
Ariana Rosario, 
Hatim Baqer
    ",
Kingdom of Wisdom,417.,(2022 Video Game),,"
Adventure, Mystery            ",,"
Sequel to The Hour Begins. 7 years after the farm house incident, Nathan Royful is back. It's up to Nathan to get back in the game once again and stop Wario for the second time.","
    Director:
Luigi Guy
                 | 
    Stars:
Thea Solone, 
Ross K. Foad
    ",
Meteor Mess,418.,(2022 Video Game),,"
Adventure            ",,"
        Add a Plot
","
            
    Stars:
Dominic Arsenault, 
Adam Bellow, 
Amanda Buck, 
Timothy Carlile
    ",
HiJack.Game,419.,(2022 Video Game),,"
Action            ",,"
HiJack is a casual game where you fight with procedurally generated monsters and levels. You will become a professional hacker fighting a mysterious threat.","
    Director:
Krzysztof Orzedowski
    ",
Imperial Destiny: Path of Gold,420.,(2022 Video Game),,"
Adventure            ",,"
        Add a Plot
","
            
    Stars:
Reece Bridger, 
Cole Feuchter, 
Aimee Smith
    ",
Cactus Champion,421.,(2022 Video Game),,"
Adventure            ",,"
In a quiet country town, the Shreriff Cactus Champion will have to face dark forces that have dominated the region from outer space. Fight dark beings and Crazy Scarecrows.","
    Director:
Henrique Bouduard
    ",
GnollHack,422.,(2022 Video Game),,"
Fantasy            ",,"
Rogue-like dungeon crawler game based on NetHack.","
    Directors:
Janne Gustafsson, 
Tommi Gustafsson
                 | 
    Stars:
Nelson Abrego, 
Nick Alfano, 
Brian Anderson, 
Rin Areneta
    ",
Nilspace,423.,(2022 Video Game),,,,"
        Add a Plot
","
            
    Stars:
Elyse Hales, 
Matthew Letourneau, 
Cat Protano, 
Dahlia Vianne
    ",
Alone Again: The Countryside,424.,(2022 Video Game),,"
Drama, Horror, Mystery            ",,"
""You live in Caçapava, in an isolated neighborhood, in the countryside. In Brazil, carrying guns is forbidden. Mysterious creatures move around your house, you can't protect yourself... ...                See full summary »
","
    Director:
Paulo Sacilotti Junior
                 | 
    Stars:
Milton Alexandre, 
Jéssica Assis, 
Natanael Gomes de Alencar, 
Ana Paula Franciono
    ",
Tour de France 2022,425.,(2022 Video Game),Not Rated,"
Sport            ",,"
        Add a Plot
","
    Director:
Mike Bodie
                 | 
    Star:
Tom Zahner
    ",
Christmas Stories: Taxi of Miracles,426.,(2022 Video Game),,"
Fantasy            ",,"
        Add a Plot
","
            
    Star:
Alaina Wis
    ",
Anonymous;Code,427.,(2022 Video Game),,"
Sci-Fi            ",,"
        Add a Plot
","
    Director:
Tatsuya Matsubara
    ",
Whateverland,428.,(2022 Video Game),,"
Comedy            ",,"
Find your way out of a magical prison called Whateverland with a charming ghost Nick by your side. Meet the charismatic locals, steal and deceive, or help others to discover all the different endings to this bizarre adventure.","
    Director:
Philipp Zybkovets
                 | 
    Stars:
Philip Champion, 
Philipp Zybkovets, 
Jess Robinson, 
Mark Lee
    ",
Lost Era: Immortal Legend,429.,(2022 Video Game),,"
Adventure            ",,"
        Add a Plot
","
            
    Stars:
Reece Bridger, 
Jakob Dillon, 
Cole Feuchter, 
Tamara Fritz
    ",
Crazy Free fire Gadi Wala,430.,(2022 Video Game),,"
Game-Show            ",,"
        Add a Plot
","
            
    Star:
Ravi Kumar Ram
    ",
Sands of Slumber: The RPG,431.,(2022 Video Game),,"
Adventure            ",,"
Based on a Dungeons and Dragons campaign, the game follows 4 heroes: Ashara, Victalyassa, Ish Ma'el, and Embra. Their journey begins in the city of Valtaska, joining the ""Unnamed Guild,"" and then into the larger conflict of the land.","
    Director:
Patrick Ash
                 | 
    Stars:
John Whinfield, 
Alice Lucia Coates, 
Brianna West, 
DJ Feron
    ",
Tank Warz!,432.,(2022 Video Game),,"
Action            ",,"
        Add a Plot
","
    Director:
Trevor Dennett-Thorpe
                 | 
    Star:
Natalie Hitzel
    ",
The Elevator Game with Catgirls,433.,(2022 Video Game),,"
Horror            ",,"
Kirin plays the elevator game and disappears. Her girlfriend, Asahi, has no choice but to go in after her: The other world plays tricks, but is there a larger tale to tell from this place? ...                See full summary »
","
            
    Stars:
Felicia Valenti, 
Whitney Holland, 
Rin Areneta, 
Luke Alphonso
    ",
Re: Turn 2 - Runaway,434.,(2022 Video Game),,"
Horror            ",,"
        Add a Plot
","
    Director:
Omar Bik Haji
                 | 
    Stars:
Madelynne H, 
Jack Hawkins, 
Rebecca Chiara Marano, 
Kalyn McCabe
    ",
Portrait of a Texas Family,435.,(2022 Video Game),,"
Drama, Family            ",,"
Inspired by a tweet by Denton, Texas mother and activist Amber Briggle as well as recent current events in Texas, Portrait of a Texas Family is a slice-of-life story taking place in ...                See full summary »
","
    Directors:
Sandra Molina Juan, 
Robert Patrick Pigott
                 | 
    Stars:
Cody Harding, 
Miguel-Eduardo D. Lackups-Fuentes, 
Meredith Nudo, 
Blair Osako-Greene
    ",
Silent Space,436.,(2022 Video Game),,"
Action, Horror, Sci-Fi            ",,"
Aboard the derelict BETA-43 space station, your only hope for survival is to just keep moving forward. Death is all but certain and you have nothing but your wits and your meager tools to ...                See full summary »
","
            
    Stars:
William Johnson-Ofoegbu, 
Meredith Nudo
    ",
Charon's Staircase,437.,(2022 Video Game),,"
Horror            ",,"
First-person horror mystery game, set out to bury the horrible past of a tyrannical government. Retrieve and destroy documents to unravel the secrets that lie beneath Oak Grove. Discover the terrifying truth and find your way out?","
            
    Stars:
Judit Hierro, 
Ian Russell
    ",
Karen Sees,438.,(2022 Video Game),,"
Horror            ",,"
Night guard Bob faces chaos erupting at his mall when a bloodthirsty Karen, armed with a knife and vicious words, breaks in looking for the manager.","
    Director:
David Örneklint
                 | 
    Star:
Cat Protano
    ",
Digitizer,439.,(2022 Video Game),,"
Action, Adventure            ",,"
Set in a post-capitalist open-world, where all government control has failed and masses of poor survivors live in anarchy, while the rich have fortified themselves in a high-tech city above...                See full summary »
","
    Director:
Ilan Manor
                 | 
    Stars:
Dale Allan, 
Georgiana Anghel, 
Bobby Ashworth, 
Mike Booth
    ",
Commandos 3: HD Remaster,440.,(2022 Video Game),T,,,"
        Add a Plot
","
    ",
The Deal,441.,(2022 Video Game),,"
Action            ",,"
A secret meeting takes place in middle of London on which the MI6 is spying upon. COD4 Fan DLC game.","
            
    Stars:
Joe Constable, 
Ross K. Foad, 
Oliver Hetherington, 
Lorenzo Onrubia
    ",
Bear & Breakfast,442.,(2022 Video Game),E10+,,,"
A well-meaning bear tries to run a B+B in the woods.","
    ",
Jake's 3,443.,(2022 Video Game),,"
Horror            ",,"
1 year after the fire at Jake's family palace, a new Jake's family palace was made. With new animatronics, a prize corner, and a new owner (you) to run the place. But, wait, why is that Jake Doll moving?","
    Director:
Tuu-Wun Tuu Wun
                 | 
    Star:
Tuu-Wun Tuu Wun
    ",
Maximum Action,444.,(2022 Video Game),,"
Action            ",,"
        Add a Plot
","
            
    Stars:
Detonator Guy, 
Suit Guy, 
You
    ",
Clash of Clans Summer Queen Trailer,445.,(2022 Video Game),,,,"
        Add a Plot
","
    ",
Doxxed,446.,(2022 Video Game),,"
Thriller            ",,"
After a botched face lift, a movie star confines herself to her penthouse apartment where she learns that her fans' obsession may have turned fatal. Is her apartment really the safest place to be?","
    Director:
John Scarpias
                 | 
    Star:
Elanna White
    ",
Final Fantasy VI Pixel Remaster,447.,(2022 Video Game),,"
Action, Adventure, Drama            ",,"
        Add a Plot
","
    Directors:
Hiroyuki Itô, 
Yoshinori Kitase
                 | 
    Stars:
Roberto Di Candido, 
Paolo Andrea Di Pietro, 
Antonella Rondinone
    ",
Reflected,448.,(2022 Video Game),,"
Drama            ",,"
A girl lives her life in her home, when strange things start happening. Objects are not where they are and she gets into a conflict with her friend.","
    Director:
Tobias Mester
                 | 
    Star:
Inga Steinberg
    ",
Capcom Arcade 2nd Stadium,449.,(2022 Video Game),T,"
Action, Fantasy            ",,"
        Add a Plot
","
    ",
Advance Wars 1+2: Re-Boot Camp,450.,(2022 Video Game),E10+,"
Action, Adventure, War            ",,"
Command an army in strategic, turn-based combat as a tactical adviser for the Orange Star Army, In this exciting remake of Advance Wars and Advance Wars 2: Black Hole Rising.","
    ",
Social Moth,451.,(2022 Video Game),,"
Adventure, Fantasy            ",,"
Social Moth is a narrative platforming game where you play as a socially anxious moth trying to find their place in a daunting world.","
    Director:
Ben Heid
                 | 
    Stars:
Rachel Tully, 
Matthew Thomas Moore, 
Arylvia Chaialee, 
Jonathan Christian Fernandez
    ",
Evil Wizard,452.,(2022 Video Game),,"
Comedy            ",,"
A humor-filled action RPG that puts you in the shoes of a former Final Boss. Rise from defeat, rediscover long lost powers, and fight to reclaim your castle from an army of so-called heroes.","
    Directors:
Diego Ordoñez Milanese, 
Rubén Gómez Marquizo, 
Gonzalo Martínez
                 | 
    Stars:
Sean Antony, 
Reece Bridger, 
Francesco Leonardo Fabbri, 
Breanna MacDowall
    ",
An Oceanside Journey on the Elsewhere Express,453.,(2022 Video Game),,,,"
A short journey on a mysterious train, where thirteen odd, thoughtful, colorful characters share their stories and invite the player to express their own.","
    Directors:
Barry K, 
Cyrus Whitt, 
Lucia Lobosvilla, 
Anthony Rodriguez
                 | 
    Stars:
Kelsey Poppen, 
Adam New, 
Su Ling Chan, 
Joy Ofodu
    ",
A Cure for Jessica,454.,(2022 Video Game),,"
Sci-Fi            ",,"
Dr. Olivia struggles to find a cure for her infected daughter, after an outbreak kills most of humanity.","
    Director:
Bernardo Argêncio Fernandes
                 | 
    Star:
Saexy
    ",
Fallout 4 - Point Lookout,455.,(2022 Video Game),,"
Action            ",,"
        Add a Plot
","
            
    Stars:
Taher Chy, 
Richard San Miguel, 
Zane Schacht, 
Johnny Penney
    ",
Overlord: Escape from Nazarick,456.,(2022 Video Game),,"
Action, Adventure            ",,"
The warrior Clementine has lost her memory and must fight her way out of the Tomb of Nazarick.","
            
    Star:
Aoi Yûki
    ",
Clash II,457.,(2022 Video Game),Not Rated,"
Action            ",,"
        Add a Plot
","
    Director:
Adam Skorupa
                 | 
    Stars:
Mike Bodie, 
Andrew Chan, 
Marta Da Silva
    ",
Moonbreaker,458.,(2022 Video Game),,,,"
Moonbreaker is a turn-based strategy, tabletop tactics game designed to be a true digital miniatures experience.","
    ",
Dorfs: Hammers for Hire,459.,(2022 Video Game),,"
Fantasy            ",,"
        Add a Plot
","
    ",
No More Room in Hell 2,460.,(2022 Video Game),T,"
Horror            ",,"
In the sequel to the 2011 award-winning Source mod, you and your fellow survivors must make your way through a diseased world that has seen the dead rise to feast on the living.","
    Director:
Joey Bracken
                 | 
    Star:
Joy Hayward
    ",
This is a True Story,461.,(2022 Video Game),,"
Adventure            ",,"
        Add a Plot
","
    Director:
Faisal Sethi
                 | 
    Star:
Wakio Mzenge
    ",
Kingshunt,462.,(2022 Video Game),,"
Action            ",,"
        Add a Plot
","
    Director:
Lauri Tolppa
                 | 
    Star:
Madison Brunoehler
    ",
Gun Kata,463.,(2022 Video Game),,"
Action, Adventure, Sci-Fi            ",,"
Taking control of RONIN, an aged sentient war drone, players work for the ominous Teer-Racket Corporation with the goal of stopping the newest global crisis, Mechrotic Outbreaks.","
    Director:
Carter Costes
    ",
Pocky & Rocky Reshrined,464.,(2022 Video Game),E,"
Action, Adventure, Family            ",,"
The adventures of the heroine and her companion continue in this third instalment of the original shrine maiden shooting series.","
    ",
Minecraft as a Medium,465.,(2022 Video Game),,,,"
Explore the art of Minecraft-- learn about the game's history and its use as a medium of art.","
    Director:
Alex Dashwood
                 | 
    Stars:
Dana Tohme, 
O Stecina, 
Lina Cunningham-Bracht, 
Max Balitbit
    ",
Patchwork Ego,466.,(2022 Video Game),,"
Horror            ",,"
Emma stopped hunting the supernatural for months, but when she finally decides to return to her job, she's forced to team up with three warlocks to stop a bigger threat. Together, they set ...                See full summary »
","
            
    Stars:
Sam Slade, 
Mike Young, 
Ron Guan, 
Melissa White
    ",
Password Cracker,467.,(2022 Video Game),,"
Family            ",,"
A hacker is at the edge of breaking an important security system and a code set. A password appears and it is the final challenge to hack the system. Find the combination of the code but be careful you have limited guesses.","
    Director:
Safak Yalcinkaya
    ",
Wildcat Gun Machine,468.,(2022 Video Game),,"
Action            ",,"
        Add a Plot
","
    Director:
Dave Collinson
    ",
